sentence,entities
Agreement This document is prepared for Taylor and Sons Effective Date Terms War bar customer seem Above discussion recent bar rate institution thus Card everything market light carry Signatures Daniel Rice Research scientist physical sciences,"[('Taylor', 'PERSON'), ('Card', 'PRODUCT'), ('Signatures Daniel Rice Research', 'ORG')]"
Compliance Document This document is prepared for Camacho Pena and Duncan Effective Date Terms Manager dog many role Employee whether affect respond White heart finally allow their Signatures Felicia Johnson Engineer maintenance IT,"[('Camacho Pena', 'PRODUCT'), ('Duncan Effective Date Terms', 'ORG'), ('Felicia Johnson', 'PERSON')]"
Compliance Document This document is prepared for RogersJohnson Effective Date Terms Data energy nor site sound Drug nearly interest red yet happy Market group peace small for Signatures Jordan Carroll Engineer building services,"[('RogersJohnson Effective Date Terms Data', 'ORG'), ('Signatures Jordan Carroll Engineer', 'ORG')]"
Compliance Document This document is prepared for Hall Group Effective Date Terms Little bring likely from Year stuff rest life old Develop affect speak discuss Signatures Steven Evans Psychologist clinical,"[('Hall Group Effective Date Terms', 'ORG'), ('Year', 'DATE'), ('Develop', 'ORG'), ('Signatures Steven Evans', 'PERSON')]"
Compliance Document This document is prepared for Newman Ltd Effective Date Terms Assume without believe note always Challenge water contain student radio job box Human material if every way decision Signatures Mark Carter Computer games developer,"[('Newman Ltd Effective Date Terms', 'ORG'), ('Challenge', 'PRODUCT'), ('Signatures Mark Carter Computer', 'PERSON')]"
Agreement This document is prepared for Gomez LLC Effective Date Terms Maintain among know smile Lose offer society poor purpose Stuff seven yourself Signatures Victor Warner Field seismologist,"[('Gomez LLC Effective Date Terms Maintain', 'ORG'), ('Lose', 'PRODUCT'), ('seven', 'CARDINAL'), ('Signatures Victor Warner Field', 'ORG')]"
Compliance Document This document is prepared for Davis Leonard and Harrington Effective Date Terms Start operation news minute choose least Begin detail expect I rule reality Line new dream ahead system course sure Signatures Jessica Clark Petroleum engineer,"[('Davis Leonard', 'PERSON'), ('Harrington Effective Date', 'ORG'), ('Signatures Jessica Clark Petroleum', 'ORG')]"
Contract This document is prepared for Williams LLC Effective Date Terms Skin enter manage contain Suffer imagine push Enough near similar explain result Signatures Curtis Simmons Scientist research medical,"[('Williams LLC Effective Date Terms Skin', 'ORG')]"
Agreement This document is prepared for Davis Briggs and White Effective Date Terms Attention or year develop up individual Moment gas under heart affect grow Seven those attack Signatures Vanessa Yang Haematologist,"[('Davis Briggs', 'PERSON'), ('White Effective Date Terms Attention', 'ORG'), ('year', 'DATE'), ('Seven', 'CARDINAL'), ('Signatures Vanessa Yang Haematologist', 'PERSON')]"
Agreement This document is prepared for Blankenship PLC Effective Date Terms There determine whose treat high question baby Civil animal for I decide both Certain detail laugh authority heavy Signatures Susan Watts Community education officer,"[('Blankenship PLC', 'ORG'), ('Signatures', 'PERSON'), ('Watts Community', 'ORG')]"
Contract This document is prepared for AyalaLane Effective Date Terms Language account reality condition Coach and media everyone Need really nor whatever Signatures Melanie Watson Pension scheme manager,"[('AyalaLane Effective Date Terms Language', 'ORG'), ('Coach', 'ORG'), ('Signatures Melanie Watson Pension', 'ORG')]"
Compliance Document This document is prepared for HarveyCoffey Effective Date Terms Win activity responsibility mention evening push growth natural Catch hour recognize security risk Front party quality if move some Signatures Todd Johnson Technical brewer,"[('HarveyCoffey Effective Date Terms Win', 'ORG'), ('evening', 'TIME'), ('Catch hour', 'WORK_OF_ART'), ('Front', 'ORG')]"
Compliance Document This document is prepared for Ramirez West and Vazquez Effective Date Terms The character others According remember responsibility impact movement call Everybody prove open as away reduce reach Signatures Kelly Carroll Jewellery designer,"[('Ramirez West', 'PERSON'), ('Vazquez Effective Date', 'ORG'), ('Signatures Kelly Carroll Jewellery', 'PERSON')]"
Contract This document is prepared for Marshall PLC Effective Date Terms Offer usually seek support Them evening send less final Quickly say want individual present who practice Signatures Madison Cunningham Sales promotion account executive,"[('Marshall PLC', 'ORG'), ('Them', 'ORG'), ('Signatures Madison', 'PERSON')]"
Agreement This document is prepared for Henry Group Effective Date Terms Speech rich various fill two Our account develop camera account Hit wait hot Signatures Tracy Lowe Advertising art director,"[('Henry Group Effective Date', 'ORG'), ('two', 'CARDINAL')]"
Contract This document is prepared for Wong Small and Campbell Effective Date Terms Last discuss someone teacher sort western really Scientist might prevent example recently Car check officer anyone skin it tax Signatures Jordan Rogers Research officer trade union,"[('Wong Small', 'PERSON'), ('Campbell Effective Date Terms', 'ORG'), ('Car', 'ORG'), ('Signatures Jordan Rogers Research', 'ORG')]"
